prefix_len,k,wrong,right,n_candidates,recall,top1,top2,top3,rr,testset,dict_size
5,1,poertry,poetry,29,1,1,1,1,1.0,testset1,20000
6,1,poertry,poetry,4,1,1,1,1,1.0,testset1,20000
7,1,poertry,poetry,1,1,1,1,1,1.0,testset1,20000
2,1,poetre,poetry,4640,1,0,0,0,0.0,testset1,20000
3,1,poetre,poetry,581,1,1,1,1,1.0,testset1,20000
4,1,poetre,poetry,81,1,1,1,1,1.0,testset1,20000
5,1,poetre,poetry,9,1,1,1,1,1.0,testset1,20000
6,1,poetre,poetry,1,1,1,1,1,1.0,testset1,20000
2,1,poety,poetry,4640,1,0,0,0,0.0,testset1,20000
3,1,poety,poetry,581,1,1,1,1,1.0,testset1,20000
4,1,poety,poetry,81,1,1,1,1,1.0,testset1,20000
5,1,poety,poetry,4,1,1,1,1,1.0,testset1,20000
2,1,powetry,poetry,4640,1,0,0,0,0.0,testset1,20000
3,1,powetry,poetry,290,1,0,0,0,0.0,testset1,20000
4,1,powetry,poetry,53,1,0,0,0,0.0,testset1,20000
5,1,powetry,poetry,14,1,0,0,0,0.0,testset1,20000
6,1,powetry,poetry,10,1,0,0,0,0.0,testset1,20000
7,1,powetry,poetry,1,1,1,1,1,1.0,testset1,20000
2,1,leval,level,4556,1,1,1,1,1.0,testset1,20000
3,1,leval,level,302,1,1,1,1,1.0,testset1,20000
4,1,leval,level,72,1,1,1,1,1.0,testset1,20000
5,1,leval,level,11,1,1,1,1,1.0,testset1,20000
2,1,basicaly,basically,5098,1,0,0,0,0.0,testset1,20000
3,1,basicaly,basically,559,1,0,0,0,0.0,testset1,20000
4,1,basicaly,basically,50,1,0,0,1,0.3333333333333333,testset1,20000
5,1,basicaly,basically,7,1,0,1,1,0.5,testset1,20000
6,1,basicaly,basically,3,1,1,1,1,1.0,testset1,20000
7,1,basicaly,basically,1,1,1,1,1,1.0,testset1,20000
2,1,unexpcted,unexpected,1779,1,0,0,0,0.0,testset1,20000
3,1,unexpcted,unexpected,329,1,0,0,1,0.3333333333333333,testset1,20000
4,1,unexpcted,unexpected,11,1,1,1,1,1.0,testset1,20000
5,1,unexpcted,unexpected,4,1,1,1,1,1.0,testset1,20000
6,1,unexpcted,unexpected,1,1,1,1,1,1.0,testset1,20000
7,1,unexpcted,unexpected,1,1,1,1,1,1.0,testset1,20000
2,1,unexpeted,unexpected,1779,1,0,0,0,0.0,testset1,20000
3,1,unexpeted,unexpected,329,1,0,0,1,0.3333333333333333,testset1,20000
4,1,unexpeted,unexpected,11,1,1,1,1,1.0,testset1,20000
5,1,unexpeted,unexpected,4,1,1,1,1,1.0,testset1,20000
6,1,unexpeted,unexpected,2,1,1,1,1,1.0,testset1,20000
7,1,unexpeted,unexpected,1,1,1,1,1,1.0,testset1,20000
2,1,unexspected,unexpected,1779,1,0,0,0,0.0,testset1,20000
3,1,unexspected,unexpected,329,1,0,0,1,0.3333333333333333,testset1,20000
4,1,unexspected,unexpected,11,1,1,1,1,1.0,testset1,20000
5,1,unexspected,unexpected,2,1,1,1,1,1.0,testset1,20000
6,1,unexspected,unexpected,1,1,1,1,1,1.0,testset1,20000
7,1,unexspected,unexpected,1,1,1,1,1,1.0,testset1,20000
2,1,varable,variable,4502,1,0,0,0,0.0,testset1,20000
3,1,varable,variable,756,1,0,0,1,0.3333333333333333,testset1,20000
4,1,varable,variable,64,1,1,1,1,1.0,testset1,20000
5,1,varable,variable,9,1,1,1,1,1.0,testset1,20000
6,1,varable,variable,2,1,1,1,1,1.0,testset1,20000
7,1,varable,variable,2,1,1,1,1,1.0,testset1,20000
2,1,futher,further,2464,1,0,0,1,0.3333333333333333,testset1,20000
3,1,futher,further,250,1,0,0,0,0.0,testset1,20000
4,1,futher,further,31,1,1,1,1,1.0,testset1,20000
5,1,futher,further,12,1,1,1,1,1.0,testset1,20000
6,1,futher,further,8,1,1,1,1,1.0,testset1,20000
2,1,monitering,monitoring,4244,1,0,0,0,0.0,testset1,20000
3,1,monitering,monitoring,797,1,0,0,0,0.0,testset1,20000
4,1,monitering,monitoring,111,1,0,1,1,0.5,testset1,20000
5,1,monitering,monitoring,22,1,0,1,1,0.5,testset1,20000
6,1,monitering,monitoring,10,1,0,1,1,0.5,testset1,20000
7,1,monitering,monitoring,7,1,0,1,1,0.5,testset1,20000
2,1,biscits,biscuits,3721,1,0,0,0,0.0,testset1,20000
3,1,biscits,biscuits,481,1,0,0,0,0.0,testset1,20000
4,1,biscits,biscuits,75,1,1,1,1,1.0,testset1,20000
5,1,biscits,biscuits,6,1,1,1,1,1.0,testset1,20000
6,1,biscits,biscuits,2,1,1,1,1,1.0,testset1,20000
7,1,biscits,biscuits,1,1,1,1,1,1.0,testset1,20000
2,1,biscutes,biscuits,3721,1,0,0,0,0.0,testset1,20000
3,1,biscutes,biscuits,481,1,0,0,0,0.0,testset1,20000
4,1,biscutes,biscuits,75,1,1,1,1,1.0,testset1,20000
5,1,biscutes,biscuits,8,1,1,1,1,1.0,testset1,20000
6,1,biscutes,biscuits,2,1,1,1,1,1.0,testset1,20000
7,1,biscutes,biscuits,0,0,0,0,0,0.0,testset1,20000
2,1,biscuts,biscuits,3721,1,0,0,0,0.0,testset1,20000
3,1,biscuts,biscuits,481,1,0,0,0,0.0,testset1,20000
4,1,biscuts,biscuits,75,1,1,1,1,1.0,testset1,20000
5,1,biscuts,biscuits,8,1,1,1,1,1.0,testset1,20000
6,1,biscuts,biscuits,2,1,1,1,1,1.0,testset1,20000
7,1,biscuts,biscuits,1,1,1,1,1,1.0,testset1,20000
2,1,bisquits,biscuits,3721,1,0,0,0,0.0,testset1,20000
3,1,bisquits,biscuits,481,1,0,0,0,0.0,testset1,20000
4,1,bisquits,biscuits,10,1,0,1,1,0.5,testset1,20000
5,1,bisquits,biscuits,3,1,1,1,1,1.0,testset1,20000
6,1,bisquits,biscuits,2,1,1,1,1,1.0,testset1,20000
7,1,bisquits,biscuits,2,1,1,1,1,1.0,testset1,20000
2,1,buiscits,biscuits,2665,1,0,0,0,0.0,testset1,20000
3,1,buiscits,biscuits,362,1,0,0,0,0.0,testset1,20000
4,1,buiscits,biscuits,40,1,0,0,0,0.0,testset1,20000
5,1,buiscits,biscuits,4,1,0,0,1,0.3333333333333333,testset1,20000
6,1,buiscits,biscuits,0,0,0,0,0,0.0,testset1,20000
7,1,buiscits,biscuits,0,0,0,0,0,0.0,testset1,20000
2,1,buiscuts,biscuits,2665,1,0,0,0,0.0,testset1,20000
3,1,buiscuts,biscuits,362,1,0,0,0,0.0,testset1,20000
4,1,buiscuts,biscuits,40,1,0,0,0,0.0,testset1,20000
5,1,buiscuts,biscuits,4,1,0,0,1,0.3333333333333333,testset1,20000
6,1,buiscuts,biscuits,2,1,1,1,1,1.0,testset1,20000
7,1,buiscuts,biscuits,0,0,0,0,0,0.0,testset1,20000
2,1,avaible,available,2017,1,1,1,1,1.0,testset1,20000
3,1,avaible,available,265,1,1,1,1,1.0,testset1,20000
4,1,avaible,available,30,1,1,1,1,1.0,testset1,20000
5,1,avaible,available,3,1,1,1,1,1.0,testset1,20000
6,1,avaible,available,3,1,1,1,1,1.0,testset1,20000
7,1,avaible,available,0,0,0,0,0,0.0,testset1,20000
2,1,seperate,separate,5755,1,0,0,0,0.0,testset1,20000
3,1,seperate,separate,638,1,0,0,1,0.3333333333333333,testset1,20000
4,1,seperate,separate,155,1,0,0,0,0.0,testset1,20000
5,1,seperate,separate,36,1,0,1,1,0.5,testset1,20000
6,1,seperate,separate,10,1,0,1,1,0.5,testset1,20000
7,1,seperate,separate,8,1,0,1,1,0.5,testset1,20000
2,1,neccesary,necessary,4249,1,0,0,0,0.0,testset1,20000
3,1,neccesary,necessary,408,1,1,1,1,1.0,testset1,20000
4,1,neccesary,necessary,10,1,0,1,1,0.5,testset1,20000
5,1,neccesary,necessary,3,1,1,1,1,1.0,testset1,20000
6,1,neccesary,necessary,3,1,1,1,1,1.0,testset1,20000
7,1,neccesary,necessary,0,0,0,0,0,0.0,testset1,20000
2,1,necesary,necessary,4249,1,0,0,0,0.0,testset1,20000
3,1,necesary,necessary,408,1,1,1,1,1.0,testset1,20000
4,1,necesary,necessary,43,1,1,1,1,1.0,testset1,20000
5,1,necesary,necessary,6,1,1,1,1,1.0,testset1,20000
6,1,necesary,necessary,3,1,1,1,1,1.0,testset1,20000
7,1,necesary,necessary,2,1,1,1,1,1.0,testset1,20000
2,1,neccesary,necessary,4249,1,0,0,0,0.0,testset1,20000
3,1,neccesary,necessary,408,1,1,1,1,1.0,testset1,20000
4,1,neccesary,necessary,10,1,0,1,1,0.5,testset1,20000
5,1,neccesary,necessary,3,1,1,1,1,1.0,testset1,20000
6,1,neccesary,necessary,3,1,1,1,1,1.0,testset1,20000
7,1,neccesary,necessary,0,0,0,0,0,0.0,testset1,20000
2,1,necassary,necessary,4249,1,0,0,0,0.0,testset1,20000
3,1,necassary,necessary,408,1,1,1,1,1.0,testset1,20000
4,1,necassary,necessary,36,1,1,1,1,1.0,testset1,20000
5,1,necassary,necessary,4,1,1,1,1,1.0,testset1,20000
6,1,necassary,necessary,3,1,1,1,1,1.0,testset1,20000
7,1,necassary,necessary,2,1,1,1,1,1.0,testset1,20000
2,1,necassery,necessary,4249,1,0,0,0,0.0,testset1,20000
3,1,necassery,necessary,408,1,1,1,1,1.0,testset1,20000
4,1,necassery,necessary,36,1,1,1,1,1.0,testset1,20000
5,1,necassery,necessary,4,1,1,1,1,1.0,testset1,20000
6,1,necassery,necessary,3,1,1,1,1,1.0,testset1,20000
7,1,necassery,necessary,0,0,0,0,0,0.0,testset1,20000
2,1,neccasary,necessary,4249,1,0,0,0,0.0,testset1,20000
3,1,neccasary,necessary,408,1,1,1,1,1.0,testset1,20000
4,1,neccasary,necessary,10,1,0,1,1,0.5,testset1,20000
5,1,neccasary,necessary,1,0,0,0,0,0.0,testset1,20000
6,1,neccasary,necessary,1,0,0,0,0,0.0,testset1,20000
7,1,neccasary,necessary,0,0,0,0,0,0.0,testset1,20000
2,1,defenition,definition,4652,1,0,0,0,0.0,testset1,20000
3,1,defenition,definition,482,1,0,0,1,0.3333333333333333,testset1,20000
4,1,defenition,definition,114,1,0,0,0,0.0,testset1,20000
5,1,defenition,definition,38,1,0,0,0,0.0,testset1,20000
6,1,defenition,definition,17,1,0,1,1,0.5,testset1,20000
7,1,defenition,definition,5,1,1,1,1,1.0,testset1,20000
2,1,receit,receipt,4697,1,0,0,0,0.0,testset1,20000
3,1,receit,receipt,875,1,0,0,0,0.0,testset1,20000
4,1,receit,receipt,194,1,0,0,0,0.0,testset1,20000
5,1,receit,receipt,21,1,0,0,0,0.0,testset1,20000
6,1,receit,receipt,14,1,1,1,1,1.0,testset1,20000
2,1,receite,receipt,4697,1,0,0,0,0.0,testset1,20000
3,1,receite,receipt,875,1,0,0,0,0.0,testset1,20000
4,1,receite,receipt,194,1,0,0,0,0.0,testset1,20000
5,1,receite,receipt,21,1,0,0,0,0.0,testset1,20000
6,1,receite,receipt,14,1,1,1,1,1.0,testset1,20000
7,1,receite,receipt,5,0,0,0,0,0.0,testset1,20000
2,1,reciet,receipt,4697,1,0,0,0,0.0,testset1,20000
3,1,reciet,receipt,875,1,0,0,0,0.0,testset1,20000
4,1,reciet,receipt,196,1,0,0,0,0.0,testset1,20000
5,1,reciet,receipt,35,1,0,0,0,0.0,testset1,20000
6,1,reciet,receipt,0,0,0,0,0,0.0,testset1,20000
2,1,recipt,receipt,4697,1,0,0,0,0.0,testset1,20000
3,1,recipt,receipt,875,1,0,0,0,0.0,testset1,20000
4,1,recipt,receipt,196,1,0,0,0,0.0,testset1,20000
5,1,recipt,receipt,12,1,0,0,0,0.0,testset1,20000
6,1,recipt,receipt,10,1,1,1,1,1.0,testset1,20000
2,1,remine,remind,4697,1,0,0,0,0.0,testset1,20000
3,1,remine,remind,865,1,0,0,0,0.0,testset1,20000
4,1,remine,remind,163,1,0,0,1,0.3333333333333333,testset1,20000
5,1,remine,remind,33,1,0,1,1,0.5,testset1,20000
6,1,remine,remind,13,1,0,0,0,0.0,testset1,20000
2,1,remined,remind,4697,1,0,0,0,0.0,testset1,20000
3,1,remined,remind,865,1,0,0,0,0.0,testset1,20000
4,1,remined,remind,163,1,0,0,1,0.3333333333333333,testset1,20000
5,1,remined,remind,33,1,0,1,1,0.5,testset1,20000
6,1,remined,remind,13,1,0,0,0,0.0,testset1,20000
7,1,remined,remind,7,1,0,0,1,0.3333333333333333,testset1,20000
2,1,inetials,initials,2065,1,0,0,0,0.0,testset1,20000
3,1,inetials,initials,689,1,0,0,0,0.0,testset1,20000
4,1,inetials,initials,181,1,0,0,0,0.0,testset1,20000
5,1,inetials,initials,23,1,0,0,0,0.0,testset1,20000
6,1,inetials,initials,11,1,0,0,0,0.0,testset1,20000
7,1,inetials,initials,5,1,0,0,0,0.0,testset1,20000
2,1,inistals,initials,2065,1,0,0,0,0.0,testset1,20000
3,1,inistals,initials,602,1,0,0,0,0.0,testset1,20000
4,1,inistals,initials,113,1,0,0,0,0.0,testset1,20000
5,1,inistals,initials,56,1,0,0,0,0.0,testset1,20000
6,1,inistals,initials,13,0,0,0,0,0.0,testset1,20000
7,1,inistals,initials,8,0,0,0,0,0.0,testset1,20000
2,1,initails,initials,2065,1,0,0,0,0.0,testset1,20000
3,1,initails,initials,602,1,0,0,0,0.0,testset1,20000
4,1,initails,initials,178,1,0,0,0,0.0,testset1,20000
5,1,initails,initials,33,1,0,0,0,0.0,testset1,20000
6,1,initails,initials,11,1,0,0,0,0.0,testset1,20000
7,1,initails,initials,5,1,0,0,0,0.0,testset1,20000
2,1,initals,initials,2065,1,0,0,0,0.0,testset1,20000
3,1,initals,initials,602,1,0,0,0,0.0,testset1,20000
4,1,initals,initials,178,1,0,0,0,0.0,testset1,20000
5,1,initals,initials,33,1,0,0,0,0.0,testset1,20000
6,1,initals,initials,13,1,0,0,0,0.0,testset1,20000
7,1,initals,initials,1,1,1,1,1,1.0,testset1,20000
2,1,intials,initials,2065,1,0,0,0,0.0,testset1,20000
3,1,intials,initials,572,1,0,0,0,0.0,testset1,20000
4,1,intials,initials,214,1,0,0,0,0.0,testset1,20000
5,1,intials,initials,24,1,0,0,0,0.0,testset1,20000
6,1,intials,initials,5,1,0,0,0,0.0,testset1,20000
7,1,intials,initials,1,1,1,1,1,1.0,testset1,20000
2,1,magnificnet,magnificent,4983,1,0,0,0,0.0,testset1,20000
3,1,magnificnet,magnificent,481,1,0,0,0,0.0,testset1,20000
4,1,magnificnet,magnificent,94,1,0,0,0,0.0,testset1,20000
5,1,magnificnet,magnificent,25,1,0,1,1,0.5,testset1,20000
6,1,magnificnet,magnificent,5,1,1,1,1,1.0,testset1,20000
7,1,magnificnet,magnificent,1,1,1,1,1,1.0,testset1,20000
3,2,begining,beginning,5755,1,1,1,1,1.0,testset1,20000
4,2,begining,beginning,1005,1,1,1,1,1.0,testset1,20000
5,2,begining,beginning,237,1,1,1,1,1.0,testset1,20000
6,2,begining,beginning,32,1,1,1,1,1.0,testset1,20000
7,2,begining,beginning,11,1,1,1,1,1.0,testset1,20000
3,2,problam,problem,7485,1,0,0,0,0.0,testset1,20000
4,2,problam,problem,1122,1,1,1,1,1.0,testset1,20000
5,2,problam,problem,320,1,1,1,1,1.0,testset1,20000
6,2,problam,problem,40,1,1,1,1,1.0,testset1,20000
7,2,problam,problem,19,1,1,1,1,1.0,testset1,20000
3,2,proble,problem,7485,1,0,0,0,0.0,testset1,20000
4,2,proble,problem,1122,1,1,1,1,1.0,testset1,20000
5,2,proble,problem,320,1,1,1,1,1.0,testset1,20000
6,2,proble,problem,122,1,1,1,1,1.0,testset1,20000
3,2,promblem,problem,7485,1,0,0,0,0.0,testset1,20000
4,2,promblem,problem,1477,1,0,0,0,0.0,testset1,20000
5,2,promblem,problem,287,1,0,0,0,0.0,testset1,20000
6,2,promblem,problem,51,1,0,0,0,0.0,testset1,20000
7,2,promblem,problem,24,1,0,0,0,0.0,testset1,20000
3,2,proplen,problem,7485,1,0,0,0,0.0,testset1,20000
4,2,proplen,problem,1297,1,0,0,0,0.0,testset1,20000
5,2,proplen,problem,330,1,0,0,0,0.0,testset1,20000
6,2,proplen,problem,129,1,0,0,0,0.0,testset1,20000
7,2,proplen,problem,19,1,0,1,1,0.5,testset1,20000
3,2,dirven,driven,7848,1,0,0,0,0.0,testset1,20000
4,2,dirven,driven,774,1,0,0,0,0.0,testset1,20000
5,2,dirven,driven,264,1,0,0,0,0.0,testset1,20000
6,2,dirven,driven,54,1,0,0,0,0.0,testset1,20000
3,2,exstacy,ecstasy,4716,1,0,0,0,0.0,testset1,20000
4,2,exstacy,ecstasy,1110,1,0,0,0,0.0,testset1,20000
5,2,exstacy,ecstasy,262,1,0,0,0,0.0,testset1,20000
6,2,exstacy,ecstasy,26,1,0,0,0,0.0,testset1,20000
7,2,exstacy,ecstasy,2,1,1,1,1,1.0,testset1,20000
3,2,ecstacy,ecstasy,6956,1,0,1,1,0.5,testset1,20000
4,2,ecstacy,ecstasy,1120,1,1,1,1,1.0,testset1,20000
5,2,ecstacy,ecstasy,216,1,1,1,1,1.0,testset1,20000
6,2,ecstacy,ecstasy,17,1,0,0,0,0.0,testset1,20000
7,2,ecstacy,ecstasy,2,1,1,1,1,1.0,testset1,20000
3,2,guic,juice,5918,1,0,0,0,0.0,testset1,20000
4,2,guic,juice,525,1,0,0,0,0.0,testset1,20000
3,2,juce,juice,5051,1,0,0,0,0.0,testset1,20000
4,2,juce,juice,553,1,0,0,1,0.3333333333333333,testset1,20000
3,2,jucie,juice,5051,1,0,0,0,0.0,testset1,20000
4,2,jucie,juice,475,1,0,0,0,0.0,testset1,20000
5,2,jucie,juice,77,1,0,1,1,0.5,testset1,20000
3,2,juise,juice,5605,1,1,1,1,1.0,testset1,20000
4,2,juise,juice,861,1,0,0,0,0.0,testset1,20000
5,2,juise,juice,120,1,0,0,0,0.0,testset1,20000
3,2,juse,juice,5181,1,0,0,0,0.0,testset1,20000
4,2,juse,juice,833,1,0,0,0,0.0,testset1,20000
3,2,localy,locally,6438,1,0,0,0,0.0,testset1,20000
4,2,localy,locally,1145,1,0,0,0,0.0,testset1,20000
5,2,localy,locally,138,1,0,1,1,0.5,testset1,20000
6,2,localy,locally,23,1,1,1,1,1.0,testset1,20000
3,2,compair,compare,6302,1,0,0,0,0.0,testset1,20000
4,2,compair,compare,1408,1,0,0,1,0.3333333333333333,testset1,20000
5,2,compair,compare,363,1,0,1,1,0.5,testset1,20000
6,2,compair,compare,171,1,0,0,0,0.0,testset1,20000
7,2,compair,compare,61,1,0,0,0,0.0,testset1,20000
3,2,pronounciation,pronunciation,7485,1,0,0,0,0.0,testset1,20000
4,2,pronounciation,pronunciation,1966,1,0,0,1,0.3333333333333333,testset1,20000
5,2,pronounciation,pronunciation,382,1,0,0,0,0.0,testset1,20000
6,2,pronounciation,pronunciation,57,1,0,0,0,0.0,testset1,20000
7,2,pronounciation,pronunciation,5,1,0,0,0,0.0,testset1,20000
3,2,independant,independent,4086,1,0,0,0,0.0,testset1,20000
4,2,independant,independent,1469,1,0,1,1,0.5,testset1,20000
5,2,independant,independent,324,1,1,1,1,1.0,testset1,20000
6,2,independant,independent,50,1,1,1,1,1.0,testset1,20000
7,2,independant,independent,22,1,1,1,1,1.0,testset1,20000
3,2,independant,independent,4086,1,0,0,0,0.0,testset1,20000
4,2,independant,independent,1469,1,0,1,1,0.5,testset1,20000
5,2,independant,independent,324,1,1,1,1,1.0,testset1,20000
6,2,independant,independent,50,1,1,1,1,1.0,testset1,20000
7,2,independant,independent,22,1,1,1,1,1.0,testset1,20000
3,2,aranged,arranged,7965,1,0,0,0,0.0,testset1,20000
4,2,aranged,arranged,1753,1,0,0,0,0.0,testset1,20000
5,2,aranged,arranged,293,1,0,0,1,0.3333333333333333,testset1,20000
6,2,aranged,arranged,58,1,0,0,1,0.3333333333333333,testset1,20000
7,2,aranged,arranged,17,1,0,0,1,0.3333333333333333,testset1,20000
3,2,arrainged,arranged,5913,1,0,0,0,0.0,testset1,20000
4,2,arrainged,arranged,1314,1,0,0,0,0.0,testset1,20000
5,2,arrainged,arranged,203,1,0,0,0,0.0,testset1,20000
6,2,arrainged,arranged,69,1,0,0,0,0.0,testset1,20000
